,0
United States,11320
Vietnam,3149
Mexico,12156
France,13732
Canada,5406
South Africa,1388
Bahamas,1307
Laos,163
Turkey,1752
Iraq,2701
Afghanistan,3296
Egypt,4130
China,7855
Japan,4249
Germany,5869
Ireland,4441
Singapore,840
Australia,5431
New Zealand,1864
Iran,1199
Georgia,9865
Italy,8277
Guinea,530
Cuba,1094
Vatican City,373
Greece,3500
Russia,5397
India,9840
Kenya,1022
Jordan,33066
Haiti,372
Venezuela,379
Taiwan,487
Colombia,631
Portugal,737
Spain,4508
Bahrain,248
Mongolia,516
Luxembourg,292
Bolivia,270
Sri Lanka,220
Sweden,1123
Israel,3756
Panama,1744
Chad,16591
Nigeria,453
Algeria,218
Tunisia,131
Iceland,1298
Indonesia,740
Belgium,793
Ukraine,543
Morocco,942
Switzerland,2195
Mauritania,218
Malaysia,350
Lebanon,482
Poland,1286
Slovenia,28
Costa Rica,680
Malta,601
Austria,887
Jamaica,2215
Denmark,520
Argentina,620
Brazil,2531
Madagascar,191
Suriname,191
Monaco,684
Montenegro,147
Nicaragua,229
Guatemala,501
Peru,990
Thailand,1222
Palestine,371
Nepal,355
Uruguay,64
Uzbekistan,93
Romania,1482
Somalia,480
Norway,929
Barbados,589
Philippines,1383
Ethiopia,244
United Kingdom,418
Uganda,233
Democratic Republic of the Congo,16
Republic of the Congo,24
Ghana,328
Lithuania,109
Seychelles,201
Pakistan,926
Bangladesh,201
El Salvador,112
Fiji,2523
Guyana,82
Papua New Guinea,43
Netherlands,387
Myanmar,103
Libya,368
Tonga,44
Slovakia,54
Trinidad and Tobago,19
Finland,276
Honduras,183
Angola,303
Hungary,606
Tanzania,202
Zimbabwe,270
Syria,606
Saudi Arabia,262
Dominican Republic,64
Belize,556
Paraguay,96
Ecuador,205
Yemen,179
Kuwait,282
Oman,490
Cambodia,489
Zambia,95
Belarus,326
Equatorial Guinea,16
Benin,37
Cyprus,431
Sierra Leone,155
Micronesia,50
Djibouti,39
Liechtenstein,47
Serbia,191
Chile,338
North Korea,382
Kazakhstan,158
South Korea,207
Sudan,294
Latvia,146
Croatia,129
Eritrea,8
Senegal,49
Cameroon,64
Bhutan,130
Namibia,136
Bulgaria,222
Maldives,216
Andorra,25
Rwanda,99
South Sudan,16
Albania,142
Central African Republic,9
Mali,283
Mozambique,119
Qatar,52
United Arab Emirates,43
Dominica,52
Grenada,91
Azerbaijan,49
Estonia,78
Armenia,143
Niger,55
Liberia,240
Saint Lucia,52
Moldova,54
Gabon,29
Cape Verde,83
Kyrgyzstan,11
Samoa,31
East Timor,8
Brunei,206
Palau,16
Kiribati,12
Solomon Islands,34
Mauritius,78
San Marino,40
Malawi,291
Botswana,384
Marshall Islands,3
Burundi,56
Kosovo,215
Lesotho,52
Burkina Faso,46
Turkmenistan,29
Vanuatu,21
Togo,18
Tajikistan,18
Cote d'Ivoire,4
Tuvalu,1
Comoros,4
Bosnia and Herzegovina,6
Guinea-Bissau,89
Gambia,2
Nauru,1
Antigua and Barbuda,2
